Sr. No.,Remitter Bank,Total Volume,Approved%,BD%,TD%,Year,Month,Remitter Bank Clean,Bank_Type,TD_Percent,BD_Percent,Approved_Percent
34,DBS Bank India Limited,6985,0.9701,0.0298,0.0001,2024,march,dbs bank india limited,Other/Cooperative,0.01,2.98,97.00999999999999
35,Karur Vysya Bank,6904,0.888,0.0981,0.0139,2024,march,karur vysya bank,Private Sector,1.39,9.81,88.8
36,Tamilnad Mercantile Bank,5247,0.9217,0.0747,0.0036,2024,march,tamilnad mercantile bank,Other/Cooperative,0.36,7.470000000000001,92.17
37,DCB Bank Ltd,4941,0.9486,0.0455,0.0059,2024,march,dcb bank ltd,Other/Cooperative,0.59,4.55,94.86
38,Surat People Cooperative Bank,3991,0.9028,0.0962,0.001,2024,march,surat people cooperative bank,Other/Cooperative,0.1,9.62,90.28
39,City Union Bank,3816,0.9337,0.066,0.0003,2024,march,city union bank,Private Sector,0.03,6.6000000000000005,93.37
40,HSBC,3428,0.9323,0.0163,0.0513,2024,march,hsbc,Other/Cooperative,5.13,1.63,93.23
41,Svc co-operative bank ltd,2811,0.974,0.026,0.0,2024,march,svc co-operative bank ltd,Other/Cooperative,0.0,2.6,97.39999999999999
42,TJSB Sahakari Bank Ltd,2284,0.9317,0.067,0.0013,2024,march,tjsb sahakari bank ltd,Other/Cooperative,0.13,6.7,93.17
43,Utkarsh Small Finance Bank Ltd,2199,0.9031,0.0277,0.0691,2024,march,utkarsh small finance bank ltd,Other/Cooperative,6.909999999999999,2.77,90.31
44,Jammu and Kashmir Bank,2132,0.8537,0.1435,0.0028,2024,march,jammu and kashmir bank,Other/Cooperative,0.27999999999999997,14.35,85.37
45,The Ahmedabad Mercantile Co- op. Bank Ltd,2075,0.932,0.0187999999999999,0.0492,2024,march,the ahmedabad mercantile co- op. bank ltd,Other/Cooperative,4.92,1.8799999999999901,93.2
46,Janata Sahakari Bank Ltd. Pune,899,0.9366,0.0634,0.0,2024,march,janata sahakari bank ltd. pune,Other/Cooperative,0.0,6.34,93.66
47,Dhanlaxmi Bank Ltd,771,0.9118,0.0661,0.022,2024,march,dhanlaxmi bank ltd,Other/Cooperative,2.1999999999999997,6.61,91.18
48,Nutan Nagrik Sahakari Bank,758,0.9037,0.0462,0.0501,2024,march,nutan nagrik sahakari bank,Other/Cooperative,5.01,4.62,90.36999999999999
49,CSB Bank Ltd,724,0.8964,0.0884,0.0152,2024,march,csb bank ltd,Other/Cooperative,1.52,8.84,89.64
50,GP PARSIK BANK,651,0.9493,0.0461,0.0046,2024,march,gp parsik bank,Other/Cooperative,0.45999999999999996,4.61,94.93
51,Deutsche Bank,134,0.8284,0.0149,0.1567,2024,march,deutsche bank,Other/Cooperative,15.67,1.49,82.84
1,State Bank Of India,540996,0.8974,0.0761,0.0266,2024,April,state bank of india,Public Sector,2.6599999999999997,7.61,89.74
2,HDFC BANK LTD,340436,0.9444,0.0545,0.0011,2024,April,hdfc bank ltd,Other/Cooperative,0.11,5.45,94.44
3,Bank of Baroda,202162,0.9243,0.0723,0.0034,2024,April,bank of baroda,Public Sector,0.33999999999999997,7.23,92.43
4,ICICI Bank,199709,0.9609,0.0341,0.005,2024,April,icici bank,Private Sector,0.5,3.4099999999999997,96.09
5,Axis Bank Ltd.,138210,0.9405,0.0581,0.0014,2024,April,axis bank ltd.,Other/Cooperative,0.13999999999999999,5.81,94.05
6,Punjab National Bank,102181,0.8347,0.0708,0.0945,2024,April,punjab national bank,Public Sector,9.45,7.08,83.47
7,Kotak Mahindra Bank,88155,0.9378,0.0556,0.0066,2024,April,kotak mahindra bank,Private Sector,0.66,5.56,93.78
8,Bank of India,81723,0.9439,0.055,0.0011,2024,April,bank of india,Public Sector,0.11,5.5,94.39
9,Union Bank of India,80781,0.9168,0.072,0.0112,2024,April,union bank of india,Public Sector,1.1199999999999999,7.199999999999999,91.67999999999999
10,Canara Bank,46316,0.93,0.0639,0.0061,2024,April,canara bank,Public Sector,0.61,6.39,93.0
11,Central Bank Of India,31480,0.8875,0.048,0.0646,2024,April,central bank of india,Public Sector,6.460000000000001,4.8,88.75
12,IDBI Bank Limited,33778,0.8998,0.0345,0.0657,2024,April,idbi bank limited,Public Sector,6.569999999999999,3.45,89.98
13,Indian Bank,21881,0.9206,0.077,0.0024,2024,April,indian bank,Public Sector,0.24,7.7,92.06
14,IDFC FIRST Bank,22898,0.9307,0.0676,0.0017,2024,April,idfc first bank,Private Sector,0.16999999999999998,6.76,93.07
15,INDUSIND BANK,22742,0.9384,0.0607,0.0008,2024,April,indusind bank,Private Sector,0.08,6.069999999999999,93.84
16,Yes Bank Ltd,22679,0.9017,0.091,0.0073,2024,April,yes bank ltd,Other/Cooperative,0.73,9.1,90.16999999999999
17,UCO Bank,16343,0.9001,0.0992,0.0007,2024,April,uco bank,Public Sector,0.06999999999999999,9.92,90.01
18,Bank of Maharashtra,11067,0.8756,0.0729,0.0515,2024,April,bank of maharashtra,Public Sector,5.1499999999999995,7.290000000000001,87.56
19,AU small Finance Bank,15808,0.9346,0.0647,0.0008,2024,April,au small finance bank,Other/Cooperative,0.08,6.47,93.46
20,The Mehsana Urban Co-Operative Bank Ltd.,11983,0.9255,0.0731,0.0014,2024,April,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.13999999999999999,7.31,92.55
21,Indian Overseas Bank,10403,0.9219,0.0749,0.0032,2024,April,indian overseas bank,Public Sector,0.32,7.489999999999999,92.19000000000001
22,Federal Bank,8679,0.9007,0.099,0.0003,2024,April,federal bank,Private Sector,0.03,9.9,90.07
23,Rajkot Nagrik Sahakari Bank Ltd.,10920,0.9226,0.0744,0.003,2024,April,rajkot nagrik sahakari bank ltd.,Other/Cooperative,0.3,7.4399999999999995,92.25999999999999
24,Citibank,7136,0.9543,0.0446,0.0011,2024,April,citibank,Other/Cooperative,0.11,4.46,95.43
25,Bandhan Bank,5792,0.8543000000000001,0.1433,0.0024,2024,April,bandhan bank,Private Sector,0.24,14.330000000000002,85.43
26,Karnataka Bank,4645,0.8747,0.0909,0.0344,2024,April,karnataka bank,Private Sector,3.44,9.09,87.47
27,Saraswat Bank,4740,0.9325,0.0584,0.0091,2024,April,saraswat bank,Other/Cooperative,0.91,5.84,93.25
28,Standard Chartered,4998,0.9402,0.0586,0.0012,2024,April,standard chartered,Private Sector,0.12,5.86,94.02000000000001
29,The Kalupur Commercial Co-operative Bank Ltd,3510,0.9265,0.0726,0.0009,2024,April,the kalupur commercial co-operative bank ltd,Other/Cooperative,0.09,7.26,92.65
30,EQUITAS SMALL,3804,0.9514,0.0352,0.0134,2024,April,equitas small,Other/Cooperative,1.34,3.52,95.14
31,Punjab and Sind Bank,2558,0.6947,0.0923,0.2130999999999999,2024,April,punjab and sind bank,Public Sector,21.30999999999999,9.229999999999999,69.47
32,RBL,3340,0.2907,0.1551,0.5542,2024,April,rbl,Private Sector,55.42,15.509999999999998,29.07
33,South Indian Bank,3020,0.9281,0.0719,0.0,2024,April,south indian bank,Private Sector,0.0,7.19,92.81
34,DBS Bank India Limited,2705,0.9579,0.0421,0.0,2024,April,dbs bank india limited,Other/Cooperative,0.0,4.21,95.78999999999999
35,Karur Vysya Bank,2626,0.8839,0.1139,0.0023,2024,April,karur vysya bank,Private Sector,0.22999999999999998,11.39,88.39
36,Tamilnad Mercantile Bank,2325,0.8942,0.1054,0.0004,2024,April,tamilnad mercantile bank,Other/Cooperative,0.04,10.54,89.42
37,DCB Bank Ltd,2281,0.9364,0.0608999999999999,0.0026,2024,April,dcb bank ltd,Other/Cooperative,0.26,6.08999999999999,93.64
38,Surat People Cooperative Bank,2040,0.9049,0.0892,0.0059,2024,April,surat people cooperative bank,Other/Cooperative,0.59,8.92,90.49000000000001
39,City Union Bank,1595,0.9103,0.0878,0.0019,2024,April,city union bank,Private Sector,0.19,8.780000000000001,91.03
40,HSBC,1472,0.9273,0.0231,0.0496,2024,April,hsbc,Other/Cooperative,4.96,2.31,92.73
41,Svc co-operative bank ltd,1185,0.9477,0.0515,0.0008,2024,April,svc co-operative bank ltd,Other/Cooperative,0.08,5.1499999999999995,94.77
42,TJSB Sahakari Bank Ltd,798,0.9211,0.0739,0.005,2024,April,tjsb sahakari bank ltd,Other/Cooperative,0.5,7.39,92.11
43,Utkarsh Small Finance Bank Ltd,1088,0.9301,0.0294,0.0404,2024,April,utkarsh small finance bank ltd,Other/Cooperative,4.04,2.94,93.01
44,Jammu and Kashmir Bank,898,0.8073,0.1903999999999999,0.0022,2024,April,jammu and kashmir bank,Other/Cooperative,0.22,19.039999999999992,80.73
45,The Ahmedabad Mercantile Co- op. Bank Ltd,958,0.9154,0.024,0.0605,2024,April,the ahmedabad mercantile co- op. bank ltd,Other/Cooperative,6.05,2.4,91.53999999999999
46,Janata Sahakari Bank Ltd. Pune,324,0.9167,0.0833,0.0,2024,April,janata sahakari bank ltd. pune,Other/Cooperative,0.0,8.33,91.67
47,Dhanlaxmi Bank Ltd,316,0.9019,0.0981,0.0,2024,April,dhanlaxmi bank ltd,Other/Cooperative,0.0,9.81,90.19
48,Nutan Nagrik Sahakari Bank,358,0.8603000000000001,0.0754,0.0642,2024,April,nutan nagrik sahakari bank,Other/Cooperative,6.419999999999999,7.539999999999999,86.03
49,CSB Bank Ltd,269,0.8959,0.0929,0.0112,2024,April,csb bank ltd,Other/Cooperative,1.1199999999999999,9.29,89.59
50,GP PARSIK BANK,203,0.8966,0.1033999999999999,0.0,2024,April,gp parsik bank,Other/Cooperative,0.0,10.33999999999999,89.66
51,Deutsche Bank,66,0.8332999999999999,0.0605999999999999,0.1061,2024,April,deutsche bank,Other/Cooperative,10.61,6.05999999999999,83.33
1,State Bank Of India,1739187,0.9333,0.0667,0.0,2024,november,state bank of india,Public Sector,0.0,6.67,93.33
2,HDFC BANK LTD,1011133,0.9538,0.0457,0.0006,2024,november,hdfc bank ltd,Other/Cooperative,0.06,4.569999999999999,95.38
3,Bank of Baroda,545116,0.9393,0.0532,0.0074,2024,november,bank of baroda,Public Sector,0.74,5.319999999999999,93.93
4,Axis Bank Ltd.,428787,0.9514,0.0444,0.0042,2024,november,axis bank ltd.,Other/Cooperative,0.42,4.44,95.14
5,ICICI Bank,426812,0.9529,0.0449,0.0022,2024,november,icici bank,Private Sector,0.22,4.49,95.28999999999999
6,Punjab National Bank,312147,0.9514,0.0486,0.0,2024,november,punjab national bank,Public Sector,0.0,4.859999999999999,95.14
7,Union Bank of India,272094,0.8488,0.0435,0.1076999999999999,2024,november,union bank of india,Public Sector,10.76999999999999,4.35,84.88
8,Kotak Mahindra Bank,221591,0.9433,0.0567,0.0,2024,november,kotak mahindra bank,Private Sector,0.0,5.67,94.33
9,Bank of India,217294,0.9504,0.0496,0.0,2024,november,bank of india,Public Sector,0.0,4.96,95.04
10,Canara Bank,169465,0.9487,0.0513,0.0,2024,november,canara bank,Public Sector,0.0,5.13,94.87
11,IDBI Bank Limited,93160,0.9488,0.0136,0.0375999999999999,2024,november,idbi bank limited,Public Sector,3.7599999999999896,1.3599999999999999,94.88
12,Central Bank Of India,92711,0.9585,0.036,0.0055,2024,november,central bank of india,Public Sector,0.5499999999999999,3.5999999999999996,95.85000000000001
13,Indian Bank,75330,0.9321,0.0678,0.0001,2024,november,indian bank,Public Sector,0.01,6.78,93.21000000000001
14,IDFC FIRST Bank,65145,0.9396,0.0602,0.0002,2024,november,idfc first bank,Private Sector,0.02,6.02,93.96
15,INDUSIND BANK,2058,0.9477,0.0501999999999999,0.0021,2024,november,indusind bank,Private Sector,0.21,5.01999999999999,94.77
16,UCO Bank,51915,0.907,0.093,0.0,2024,november,uco bank,Public Sector,0.0,9.3,90.7
17,Yes Bank Ltd,51105,0.9016,0.0983,0.0001,2024,november,yes bank ltd,Other/Cooperative,0.01,9.83,90.16
18,Bank of Maharashtra,46885,0.9443,0.0527,0.003,2024,november,bank of maharashtra,Public Sector,0.3,5.27,94.43
19,Federal Bank,36011,0.8029000000000001,0.1971,0.0,2024,november,federal bank,Private Sector,0.0,19.71,80.29
20,Indian Overseas Bank,35909,0.9475,0.0524,0.0,2024,november,indian overseas bank,Public Sector,0.0,5.24,94.75
21,AU small Finance Bank,35396,0.9486,0.0513,0.0001,2024,november,au small finance bank,Other/Cooperative,0.01,5.13,94.86
22,The Mehsana Urban Co-Operative Bank Ltd.,22687,0.9632,0.0368,0.0,2024,november,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.0,3.6799999999999997,96.32
23,Bandhan Bank,19972,0.8904000000000001,0.1096,0.0,2024,november,bandhan bank,Private Sector,0.0,10.96,89.04
24,Karnataka Bank,19246,0.9217,0.0783,0.0,2024,november,karnataka bank,Private Sector,0.0,7.829999999999999,92.17
25,Standard Chartered,17046,0.9494,0.0506,0.0,2024,november,standard chartered,Private Sector,0.0,5.06,94.94
26,Rajkot Nagrik Sahakari Bank Ltd.,16128,0.9637,0.0363,0.0,2024,november,rajkot nagrik sahakari bank ltd.,Other/Cooperative,0.0,3.63,96.37
27,Saraswat Bank,14239,0.9518,0.0478,0.0004,2024,november,saraswat bank,Other/Cooperative,0.04,4.78,95.17999999999999
28,South Indian Bank,10689,0.9311,0.0689,0.0,2024,november,south indian bank,Private Sector,0.0,6.890000000000001,93.11
29,Karur Vysya Bank,10247,0.9109,0.0891,0.0,2024,november,karur vysya bank,Private Sector,0.0,8.91,91.09
30,Punjab and Sind Bank,10012,0.9429,0.0569,0.0002,2024,november,punjab and sind bank,Public Sector,0.02,5.6899999999999995,94.28999999999999
31,Equitas Small Finance Bank,8091,0.9541,0.0458999999999999,0.0,2024,november,equitas small finance bank,Other/Cooperative,0.0,4.58999999999999,95.41
32,The Kalupur Commercial Co-operative Bank Ltd,7959,0.9587,0.0387,0.0026,2024,november,the kalupur commercial co-operative bank ltd,Other/Cooperative,0.26,3.8699999999999997,95.87
33,DBS Bank India Limited,6148,0.9881,0.0118999999999999,0.0,2024,november,dbs bank india limited,Other/Cooperative,0.0,1.18999999999999,98.81
34,RBL Ltd,6117,0.8795000000000001,0.1205,0.0,2024,november,rbl ltd,Other/Cooperative,0.0,12.049999999999999,87.95
35,DCB Bank Ltd,6106,0.9571,0.0429,0.0,2024,november,dcb bank ltd,Other/Cooperative,0.0,4.29,95.71
36,HSBC,5998,0.937,0.0143,0.0487,2024,november,hsbc,Other/Cooperative,4.87,1.43,93.7
37,City Union Bank,5810,0.9256,0.0699,0.0045,2024,november,city union bank,Private Sector,0.44999999999999996,6.99,92.56
38,Tamilnad Mercantile Bank,5749,0.9407,0.0593,0.0,2024,november,tamilnad mercantile bank,Other/Cooperative,0.0,5.93,94.07
39,Jammu and Kashmir Bank,4962,0.9004000000000001,0.0996,0.0,2024,november,jammu and kashmir bank,Other/Cooperative,0.0,9.959999999999999,90.04
40,Svc co-operative bank ltd,3676,0.9554,0.0405,0.0041,2024,november,svc co-operative bank ltd,Other/Cooperative,0.41000000000000003,4.05,95.54
41,Surat People Cooperative Bank,3620,0.9398,0.0602,0.0,2024,november,surat people cooperative bank,Other/Cooperative,0.0,6.02,93.97999999999999
42,TJSB Sahakari Bank Ltd,3218,0.9394,0.0605999999999999,0.0,2024,november,tjsb sahakari bank ltd,Other/Cooperative,0.0,6.05999999999999,93.94
43,Utkarsh Small Finance Bank Ltd,3008,0.9465,0.0219,0.0316,2024,november,utkarsh small finance bank ltd,Other/Cooperative,3.16,2.19,94.65
44,The Ahmedabad Mercantile Co- op. Bank Ltd,1548,0.9897,0.0103,0.0,2024,november,the ahmedabad mercantile co- op. bank ltd,Other/Cooperative,0.0,1.03,98.97
45,Janata Sahakari Bank Ltd. Pune,1324,0.9366,0.0634,0.0,2024,november,janata sahakari bank ltd. pune,Other/Cooperative,0.0,6.34,93.66
46,Dhanlaxmi Bank Ltd,1201,0.9026,0.0974,0.0,2024,november,dhanlaxmi bank ltd,Other/Cooperative,0.0,9.74,90.25999999999999
47,CSB Bank Ltd,1159,0.9034,0.0966,0.0,2024,november,csb bank ltd,Other/Cooperative,0.0,9.66,90.34
48,GP PARSIK BANK,775,0.9781,0.0219,0.0,2024,november,gp parsik bank,Other/Cooperative,0.0,2.19,97.81
49,Nutan Nagrik Sahakari Bank,678,0.9528,0.0472,0.0,2024,november,nutan nagrik sahakari bank,Other/Cooperative,0.0,4.72,95.28
50,Jana Small Finance Bank,527,0.2941,0.7059000000000001,0.0,2024,november,jana small finance bank,Other/Cooperative,0.0,70.59,29.409999999999997
51,Deutsche Bank,255,0.9373,0.0,0.0627,2024,november,deutsche bank,Other/Cooperative,6.2700000000000005,0.0,93.73
1,State Bank Of India,2254883,0.936,0.061,0.003,2024,may,state bank of india,Public Sector,0.3,6.1,93.60000000000001
2,HDFC BANK LTD,1386553,0.95,0.0491,0.0009,2024,may,hdfc bank ltd,Other/Cooperative,0.09,4.91,95.0
3,Bank of Baroda,843090,0.9392,0.0582,0.0026,2024,may,bank of baroda,Public Sector,0.26,5.82,93.92
4,ICICI Bank,815159,0.9596,0.0371,0.0033,2024,may,icici bank,Private Sector,0.33,3.71,95.96000000000001
5,Axis Bank Ltd.,562199,0.951,0.0483,0.0007,2024,may,axis bank ltd.,Other/Cooperative,0.06999999999999999,4.83,95.1
6,Punjab National Bank,412501,0.9323,0.0612,0.0065,2024,may,punjab national bank,Public Sector,0.65,6.12,93.23
7,Kotak Mahindra Bank,375637,0.9443,0.051,0.0047,2024,may,kotak mahindra bank,Private Sector,0.47000000000000003,5.1,94.43
8,Bank of India,340681,0.9376,0.0535,0.0089,2024,may,bank of india,Public Sector,0.89,5.35,93.76
9,Union Bank of India,333188,0.9404,0.0583,0.0013,2024,may,union bank of india,Public Sector,0.13,5.83,94.04
10,Canara Bank,197086,0.9241,0.0607,0.0152,2024,may,canara bank,Public Sector,1.52,6.069999999999999,92.41
11,IDBI Bank Limited,131981,0.9382,0.0243999999999999,0.0374,2024,may,idbi bank limited,Public Sector,3.74,2.43999999999999,93.82000000000001
12,Central Bank Of India,131091,0.9092,0.0581,0.0327,2024,may,central bank of india,Public Sector,3.27,5.81,90.92
13,IDFC FIRST Bank,93945,0.9261,0.0617999999999999,0.012,2024,may,idfc first bank,Private Sector,1.2,6.17999999999999,92.61
14,INDUSIND BANK,86157,0.9422,0.057,0.0008,2024,may,indusind bank,Private Sector,0.08,5.7,94.22
15,Yes Bank Ltd,81038,0.907,0.0895,0.0035,2024,may,yes bank ltd,Other/Cooperative,0.35000000000000003,8.95,90.7
16,Indian Bank,103508,0.8226,0.0661,0.1113,2024,may,indian bank,Public Sector,11.129999999999999,6.61,82.26
17,UCO Bank,69174,0.8885,0.1103,0.0013,2024,may,uco bank,Public Sector,0.13,11.03,88.85
18,AU small Finance Bank,57735,0.9376,0.0616,0.0007,2024,may,au small finance bank,Other/Cooperative,0.06999999999999999,6.16,93.76
19,The Mehsana Urban Co-Operative Bank Ltd.,50407,0.8909,0.1021,0.0069,2024,may,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.69,10.209999999999999,89.09
20,Bank of Maharashtra,50304,0.9047,0.0644,0.0308999999999999,2024,may,bank of maharashtra,Public Sector,3.08999999999999,6.4399999999999995,90.47
21,Rajkot Nagrik Sahakari Bank Ltd.,38089,0.9433,0.0562,0.0006,2024,may,rajkot nagrik sahakari bank ltd.,Other/Cooperative,0.06,5.62,94.33
22,Indian Overseas Bank,42673,0.941,0.0578,0.0012,2024,may,indian overseas bank,Public Sector,0.12,5.779999999999999,94.1
23,Federal Bank,36106,0.9137,0.0807,0.0056,2024,may,federal bank,Private Sector,0.5599999999999999,8.07,91.36999999999999
24,Citibank,25529,0.9448,0.0471,0.0081,2024,may,citibank,Other/Cooperative,0.8099999999999999,4.71,94.48
25,Bandhan Bank,24469,0.8194,0.1798,0.0008,2024,may,bandhan bank,Private Sector,0.08,17.98,81.94
26,Standard Chartered,20240,0.945,0.0546,0.0004,2024,may,standard chartered,Private Sector,0.04,5.46,94.5
27,Saraswat Bank,20429,0.9243,0.0579999999999999,0.0177,2024,may,saraswat bank,Other/Cooperative,1.77,5.79999999999999,92.43
28,Karnataka Bank,18897,0.9,0.081,0.0189,2024,may,karnataka bank,Private Sector,1.8900000000000001,8.1,90.0
29,Equitas Small Finance Bank,12496,0.9452,0.0513,0.0035,2024,may,equitas small finance bank,Other/Cooperative,0.35000000000000003,5.13,94.52000000000001
30,The Kalupur Commercial Co-operative Bank Ltd,16064,0.9443,0.0521999999999999,0.0034,2024,may,the kalupur commercial co-operative bank ltd,Other/Cooperative,0.33999999999999997,5.21999999999999,94.43
31,RBL Bank,9425,0.5328,0.1747,0.2924,2024,may,rbl bank,Other/Cooperative,29.24,17.47,53.28000000000001
32,South Indian Bank,10760,0.9245,0.0742,0.0013,2024,may,south indian bank,Private Sector,0.13,7.42,92.45
33,DBS Bank India Limited,11357,0.966,0.0266999999999999,0.0073,2024,may,dbs bank india limited,Other/Cooperative,0.73,2.66999999999999,96.6
34,Karur Vysya Bank,11172,0.8764,0.0874,0.0363,2024,may,karur vysya bank,Private Sector,3.63,8.74,87.64
35,Punjab and Sind Bank,11138,0.93,0.0682,0.0018,2024,may,punjab and sind bank,Public Sector,0.18,6.819999999999999,93.0
36,Tamilnad Mercantile Bank,8557,0.8906000000000001,0.1079,0.0015,2024,may,tamilnad mercantile bank,Other/Cooperative,0.15,10.79,89.06
37,DCB Bank Ltd,8653,0.9319,0.0619,0.0061,2024,may,dcb bank ltd,Other/Cooperative,0.61,6.1899999999999995,93.19
38,Surat People Cooperative Bank,7886,0.9017,0.0971,0.0011,2024,may,surat people cooperative bank,Other/Cooperative,0.11,9.71,90.16999999999999
39,City Union Bank,5917,0.9223,0.0769,0.0008,2024,may,city union bank,Private Sector,0.08,7.6899999999999995,92.23
40,HSBC,6370,0.9193,0.0192,0.0615,2024,may,hsbc,Other/Cooperative,6.15,1.92,91.93
41,Svc co-operative bank ltd,4791,0.9547,0.0445,0.0008,2024,may,svc co-operative bank ltd,Other/Cooperative,0.08,4.45,95.47
42,Utkarsh Small Finance Bank Ltd,4143,0.9305,0.0308999999999999,0.0385999999999999,2024,may,utkarsh small finance bank ltd,Other/Cooperative,3.8599999999999897,3.08999999999999,93.05
43,The Ahmedabad Mercantile Co- op. Bank Ltd,3821,0.9189,0.023,0.0581,2024,may,the ahmedabad mercantile co- op. bank ltd,Other/Cooperative,5.81,2.3,91.89
44,Jammu and Kashmir Bank,3491,0.8565,0.1432,0.0003,2024,may,jammu and kashmir bank,Other/Cooperative,0.03,14.32,85.65
45,TJSB Sahakari Bank Ltd,3593,0.9313,0.0682,0.0006,2024,may,tjsb sahakari bank ltd,Other/Cooperative,0.06,6.819999999999999,93.13
46,Nutan Nagrik Sahakari Bank,1410,0.8573999999999999,0.0702,0.0723,2024,may,nutan nagrik sahakari bank,Other/Cooperative,7.23,7.02,85.74
47,Janata Sahakari Bank Ltd. Pune,1340,0.9179,0.0799,0.0022,2024,may,janata sahakari bank ltd. pune,Other/Cooperative,0.22,7.99,91.79
48,Dhanlaxmi Bank Ltd,1025,0.8956000000000001,0.1033999999999999,0.001,2024,may,dhanlaxmi bank ltd,Other/Cooperative,0.1,10.33999999999999,89.56
49,CSB Bank Ltd,1027,0.8851,0.1042,0.0107,2024,may,csb bank ltd,Other/Cooperative,1.0699999999999998,10.42,88.51
50,GP PARSIK BANK,1012,0.9457,0.0524,0.002,2024,may,gp parsik bank,Other/Cooperative,0.2,5.24,94.57
51,Deutsche Bank,244,0.918,0.0163999999999999,0.0656,2024,may,deutsche bank,Other/Cooperative,6.5600000000000005,1.6399999999999901,91.8
1,State Bank Of India,1840453,0.931,0.059,0.01,2024,July,state bank of india,Public Sector,1.0,5.8999999999999995,93.10000000000001
2,HDFC BANK LTD,1142800,0.9471,0.0516999999999999,0.0011,2024,July,hdfc bank ltd,Other/Cooperative,0.11,5.16999999999999,94.71000000000001
3,ICICI Bank,678571,0.961,0.0387,0.0004,2024,July,icici bank,Private Sector,0.04,3.8699999999999997,96.1
4,Bank of Baroda,672876,0.9366,0.0516,0.0118,2024,July,bank of baroda,Public Sector,1.18,5.16,93.66
5,Axis Bank Ltd.,470994,0.9528,0.0467,0.0005,2024,July,axis bank ltd.,Other/Cooperative,0.05,4.67,95.28
6,Punjab National Bank,339497,0.9096,0.0703,0.02,2024,July,punjab national bank,Public Sector,2.0,7.03,90.96
7,Kotak Mahindra Bank,293639,0.9449,0.051,0.0041,2024,July,kotak mahindra bank,Private Sector,0.41000000000000003,5.1,94.49
8,Union Bank of India,269907,0.9351,0.0613999999999999,0.0035,2024,July,union bank of india,Public Sector,0.35000000000000003,6.13999999999999,93.51
9,Bank of India,265808,0.9473,0.049,0.0037,2024,July,bank of india,Public Sector,0.37,4.9,94.73
10,Canara Bank,158762,0.9263,0.0697,0.0041,2024,July,canara bank,Public Sector,0.41000000000000003,6.97,92.63
11,Central Bank Of India,108664,0.9432,0.0412,0.0156,2024,July,central bank of india,Public Sector,1.5599999999999998,4.12,94.32000000000001
12,IDBI Bank Limited,104939,0.9381,0.0245,0.0374,2024,July,idbi bank limited,Public Sector,3.74,2.45,93.81
13,IDFC FIRST Bank,79534,0.9313,0.0655,0.0032,2024,July,idfc first bank,Private Sector,0.32,6.550000000000001,93.13
14,Indian Bank,76582,0.9306,0.0686,0.0008,2024,July,indian bank,Public Sector,0.08,6.859999999999999,93.06
15,INDUSIND BANK,69453,0.946,0.0535,0.0005,2024,July,indusind bank,Private Sector,0.05,5.35,94.6
16,Yes Bank Ltd,67947,0.9111,0.0821,0.0068,2024,July,yes bank ltd,Other/Cooperative,0.6799999999999999,8.21,91.11
17,UCO Bank,56930,0.8975,0.0996,0.0029,2024,July,uco bank,Public Sector,0.29,9.959999999999999,89.75
18,AU small Finance Bank,45302,0.9436,0.0562,0.0001,2024,July,au small finance bank,Other/Cooperative,0.01,5.62,94.36
19,Bank of Maharashtra,40729,0.9253,0.0611,0.0136,2024,July,bank of maharashtra,Public Sector,1.3599999999999999,6.11,92.53
20,The Mehsana Urban Co-Operative Bank Ltd.,39828,0.9523,0.0447,0.003,2024,July,the mehsana urban co-operative bank ltd.,Other/Cooperative,0.3,4.47,95.23
21,Indian Overseas Bank,35480,0.9372,0.0615,0.0013,2024,July,indian overseas bank,Public Sector,0.13,6.15,93.72
22,Rajkot Nagrik Sahakari Bank Ltd.,29035,0.9549,0.0438999999999999,0.0012,2024,July,rajkot nagrik sahakari bank ltd.,Other/Cooperative,0.12,4.38999999999999,95.49
23,Federal Bank,29007,0.927,0.0727,0.0003,2024,July,federal bank,Private Sector,0.03,7.2700000000000005,92.7
24,Bandhan Bank,20900,0.8914,0.1082,0.0003,2024,July,bandhan bank,Private Sector,0.03,10.82,89.14
25,Standard Chartered,16719,0.943,0.0565,0.0005,2024,July,standard chartered,Private Sector,0.05,5.65,94.3
26,Karnataka Bank,16243,0.8856,0.0757,0.0388,2024,July,karnataka bank,Private Sector,3.88,7.57,88.56
27,Saraswat Bank,15572,0.9384,0.0536,0.008,2024,July,saraswat bank,Other/Cooperative,0.8,5.36,93.84
28,The Kalupur Commercial Co-operative Bank Ltd,12769,0.9511,0.046,0.0029,2024,July,the kalupur commercial co-operative bank ltd,Other/Cooperative,0.29,4.6,95.11
29,Citibank,12437,0.7339,0.2661,0.0,2024,July,citibank,Other/Cooperative,0.0,26.61,73.39
30,Equitas Small Finance Bank,10161,0.9492,0.0466,0.0041,2024,July,equitas small finance bank,Other/Cooperative,0.41000000000000003,4.66,94.92
31,Punjab and Sind Bank,9489,0.9218,0.0757,0.0025,2024,July,punjab and sind bank,Public Sector,0.25,7.57,92.17999999999999
32,DBS Bank India Limited,9340,0.9552,0.0176,0.0272,2024,July,dbs bank india limited,Other/Cooperative,2.7199999999999998,1.76,95.52000000000001
